date,title,text
08/01/2019,New Website!,Welcome to the new Anthony J. Lee Research Website!
14/01/2019,Stirling,We are happy to announce that we have moved to the Psychology Division at The University of Stirling.
21/01/2019,Manuscript Accepted!,Our manuscript using data-driven approaches to identify mating-relevant traits from online dating profiles has been accepted for publication in Evolution and Human Behavior. <a href=https://psyarxiv.com/38zef/>Pre-print available here</a>.
17/01/2019,Manuscript Accepted!,Our manuscript with collaborators at The University of Glasgow (first author Vanessa Fasolt) has been accepted for publication in Human Ethology Bulletin. We find that a smiling (compared to neutral) expression decreases accuracy of relatedness judgements between sibling pairs.
20/02/2019,Manuscript Accepted!,"Our manuscript with collaborators at The University of Queensland (student first author Rebecca Stower, with Barnaby Dixson) has been accepted for publication in Archives of Sexual Behavior. We found that women's sexual openness is associated with women's preference for men's facial hair."
09/04/2019,Manuscript Accepted!,"Our manuscript with collaborators at The University of Queensland (Nicole Nelson and Barnaby Dixson) has been accepted for publication in Hormones and Behavior. We found that mothers are sensitive to men's beards, potentially as a cue to paternal investment."
18/04/2019,Manuscript Accepted!,"Our manuscript with student first author, Lingshan Zhang at The University of Glasgow, investigating cross-cultural differences in face perception has been accepted for publication in Perception. <a href = https://psyarxiv.com/r7asu/>Pre-print available here</a>."
19/04/2019,Manuscript Accepted!,"Lingshan Zhang at The University of Glasgow, has had a second paper accepted in two days! Here, we investigated cross-national preferences for physical attractiveness and good earning capacity were associated with country gender equality. <a href = https://psyarxiv.com/mtsx8/> Pre-print available here</a>."
01/05/2019,Invited Talk,Anthony gave a research talk to the Evolution Research Group at The University of Queensland on recent work investigating human mate preference using a data-driven approach.
13/06/2019,Manuscript Accepted!,Our manuscript investigating developmental and environmental influences of children's judgements of facial hair has been accepted for publication in Evolution and Human Behaviour. This is work in collaboration with Nicole Nelson and Barnaby Dixson at The Unversity of Queensland.
